ID,PRICE,LIVING_AREA,LOCATION
146460489,975.000 €,183 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146919246,975.000 €,378 m²,"Gallus, Frankfurt am Main"
145658403,2.989.000 €,559 m²,"Dornbusch, Frankfurt am Main"
144746390,675.000 €,185 m²,"Preungesheim, Frankfurt am Main"
141806756,1.050.000 €,"263,13 m²","Praunheim, Frankfurt am Main"
146143008,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
147169746,2.199.900 €,"651,72 m²","Neu-Isenburg, Offenbach (Kreis)"
147033089,797.000 €,251 m²,"Lauterborn, Offenbach am Main"
146891233,2.960.000 €,367 m²,"Bergen-Enkheim, Frankfurt am Main"
147088733,995.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
146027721,875.000 €,108 m²,"Kalbach-Riedberg, Frankfurt am Main"
147157714,795.000 €,158 m²,"Neu-Isenburg, Offenbach (Kreis)"
146877134,449.000 €,113 m²,"Nied, Frankfurt am Main"
146097039,1.150.000 €,180 m²,"Nidderauer Straße 8, Bergen-Enkheim, Frankfurt am Main"
147217722,1.179.000 €,"293,47 m²","Bad Vilbel, Wetteraukreis"
138750002,598.000 €,"144,7 m²","Jahnstraße 37D, Bürgel, Offenbach am Main"
138195396,985.000 €,"121,8 m²","Bad Vilbel, Wetteraukreis"
147126827,650.000 €,218 m²,"Sossenheim, Frankfurt am Main"
146986893,698.000 €,110 m²,"Dreieich, Offenbach (Kreis)"
142068931,949.000 €,"147,13 m²","Bad Vilbel, Wetteraukreis"
142485685,599.900 €,148 m²,"Mühlheimer Straße, Offenbach am Main"
142367235,1.150.000 €,"292,11 m²","Im Kirschenwäldchen 2G, Kalbach-Riedberg, Frankfurt am Main"
147189736,685.000 €,"332,15 m²","Maintal, Main-Kinzig-Kreis"
146067379,1.000.000 €,160 m²,"Höchst, Frankfurt am Main"
143480011,2.470.000 €,195 m²,"Dreieich, Offenbach (Kreis)"
145379923,1.190.000 €,138 m²,"Falkenweg 17, Kalbach-Riedberg, Frankfurt am Main"
147053726,1.975.000 €,340 m²,"Jägerweg 10, Dreieich, Offenbach (Kreis)"
131861820,689.000 €,210 m²,"Maintal, Main-Kinzig-Kreis"
144478060,auf Anfrage,366 m²,"Dreieich, Offenbach (Kreis)"
145823417,498.000 €,115 m²,"Unterliederbach, Frankfurt am Main"
147174914,1.508.900 €,630 m²,"Oberursel (Taunus), Hochtaunuskreis"
147161533,498.000 €,173 m²,"Heusenstamm, Offenbach (Kreis)"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
145748882,895.000 €,159 m²,"Sulzbach (Taunus), Main-Taunus-Kreis"
146500221,695.000 €,140 m²,"Dietzenbach, Offenbach (Kreis)"
144393680,1.049.000 €,324 m²,"Obertshausen, Offenbach (Kreis)"
145686320,597.000 €,145 m²,"Bieber, Offenbach am Main"
145957286,750.000 €,200 m²,"Sindlingen, Frankfurt am Main"
145420653,750.000 €,200 m²,"Sindlingen, Frankfurt am Main"
143575171,360.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
144173942,698.000 €,194 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
147188892,1.580.000 €,140 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
143576082,999.900 €,140 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145812877,827.400 €,"154,19 m²","Alte-Römer-Straße 26, Langen (Hessen), Offenbach (Kreis)"
146953020,939.000 €,"260,35 m²","Obertshausen, Offenbach (Kreis)"
146523214,2.945.000 €,361 m²,"Obertshausen, Offenbach (Kreis)"
146717265,425.000 €,"133,05 m²","Obertshausen, Offenbach (Kreis)"
147127639,2.650.000 €,226 m²,"Oberursel (Taunus), Hochtaunuskreis"
144511446,1.325.000 €,253 m²,"Dietzenbach, Offenbach (Kreis)"
146944713,1.280.000 €,"284,14 m²","Dietzenbach, Offenbach (Kreis)"
146868255,895.000 €,136 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
146272207,990.000 €,196 m²,"Oberursel (Taunus), Hochtaunuskreis"
144093915,799.000 €,188 m²,"Karben, Wetteraukreis"
145747710,730.000 €,173 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
143637746,695.000 €,220 m²,"Friedrichsdorf, Hochtaunuskreis"
141609755,490.000 €,140 m²,"Schöneck, Main-Kinzig-Kreis"
145591024,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
142799525,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
140981861,631.500 €,"135,5 m²","Steinheim, Hanau"
147115299,1.150.000 €,215 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
145805804,789.000 €,280 m²,"Schöneck, Main-Kinzig-Kreis"
145154318,2.400.000 €,264 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
146973234,850.000 €,177 m²,"Rödermark, Offenbach (Kreis)"
147174824,395.000 €,"114,93 m²","Mittelbuchen, Hanau"
144446773,1.439.000 €,305 m²,"Rödermark, Offenbach (Kreis)"
146163079,675.000 €,"179,4 m²","Niddastraße 67, Egelsbach, Offenbach (Kreis)"
147057567,995.000 €,156 m²,"Hofheim am Taunus, Main-Taunus-Kreis"
138478254,1.290.000 €,"333,26 m²","Mörfelden-Walldorf, Groß-Gerau (Kreis)"
146262976,1.790.000 €,"362,5 m²","Königstein im Taunus, Hochtaunuskreis"
146505545,709.000 €,189 m²,"Mittelbuchen, Hanau"
146291197,548.000 €,180 m²,"Rödermark, Offenbach (Kreis)"
143846430,880.000 €,190 m²,"Königstein im Taunus, Hochtaunuskreis"
143245643,1.049.000 €,"262,89 m²","Mörfelden-Walldorf, Groß-Gerau (Kreis)"
142615080,649.000 €,"120,37 m²","Frankfurter Straße XX, Hofheim am Taunus, Main-Taunus-Kreis"
146250043,1.750.000 €,212 m²,"Königstein im Taunus, Hochtaunuskreis"
143147572,3.950.000 €,350 m²,"Königstein im Taunus, Hochtaunuskreis"
146214378,589.000 €,197 m²,"Am Kirchberg 22, Mittelbuchen, Hanau"
144419812,580.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
144419764,580.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
145156790,920.000 €,303 m²,"Hainburg, Offenbach (Kreis)"
147159558,520.000 €,80 m²,"Hainburg, Offenbach (Kreis)"
145250898,1.450.000 €,360 m²,"Groß-Auheim, Hanau"
142841151,433.000 €,134 m²,"Rödermark, Offenbach (Kreis)"
142570292,779.000 €,"332,94 m²","Raunheim, Groß-Gerau (Kreis)"
144524403,495.000 €,200 m²,"Wixhausen, Darmstadt"
146672310,870.000 €,263 m²,"Hainburg, Offenbach (Kreis)"
137496732,450.000 €,234 m²,"Bruchköbel, Main-Kinzig-Kreis"
144562409,799.000 €,160 m²,"Nidderau, Main-Kinzig-Kreis"
147220895,1.790.000 €,330 m²,"Eppstein, Main-Taunus-Kreis"
145431076,2.000.000 €,250 m²,"Rosbach vor der Höhe, Wetteraukreis"
134768799,825.000 €,"204,38 m²","Eppstein, Main-Taunus-Kreis"
